completion_pct,total_duration_days,elapsed_days,days_remaining,daily_velocity,log_frequency,labor_count,budget_ratio,total_logs,category,weather_factor,delay_days,actual_total_days,is_delayed
43.15,238,155,83,0.2784,0.856,195,0.537,132,education,0.7,103,341,1
40.11,388,179,209,0.2241,0.554,112,0.536,99,healthcare,0.93,5,393,0
18.74,599,74,525,0.2533,0.349,168,0.119,25,education,0.96,16,615,1
38.22,1001,279,722,0.137,0.465,103,0.325,129,housing,0.96,7,1008,0
62.91,890,823,67,0.0764,0.465,66,0.702,382,healthcare,0.96,100,990,1
26.71,249,45,204,0.5936,0.332,93,0.232,14,water,0.99,11,260,0
18.61,420,126,294,0.1477,0.253,14,0.224,31,water,0.91,37,457,1
30.6,497,154,343,0.1987,0.763,32,0.225,117,housing,1.0,5,502,0
83.66,209,164,45,0.5101,0.988,193,0.565,162,electricity,0.67,3,212,0
13.29,109,15,94,0.886,0.557,63,0.128,8,electricity,0.62,0,109,0
100.0,640,600,40,0.1667,0.54,188,0.947,323,healthcare,1.0,3,643,0
5.45,270,33,237,0.165,0.27,123,0.1,8,water,1.04,31,301,1
72.62,881,809,72,0.0898,0.95,197,1.105,768,housing,1.01,79,960,1
95.31,717,601,116,0.1586,0.844,151,1.06,507,education,1.0,11,728,0
30.02,399,93,306,0.3228,0.804,93,0.288,74,education,0.94,0,399,0
82.05,503,328,175,0.2502,0.385,86,0.801,126,education,1.12,7,510,0
46.03,523,184,339,0.2502,0.45,147,0.394,82,education,0.87,0,523,0
18.65,676,322,354,0.0579,0.55,78,0.552,177,education,0.93,129,805,1
100.0,818,717,101,0.1395,0.459,157,0.814,329,healthcare,0.95,23,841,1
75.95,862,610,252,0.1245,0.107,25,0.579,65,housing,0.99,0,862,0
23.65,230,34,196,0.6957,0.537,23,0.115,18,road,0.75,0,230,0
29.49,410,243,167,0.1214,0.345,162,0.671,83,water,0.85,34,444,1
55.5,442,300,142,0.185,0.267,60,0.798,80,road,1.15,38,480,1
100.0,923,838,85,0.1193,0.634,122,0.917,531,housing,1.08,0,923,0
31.89,331,132,199,0.2416,0.759,41,0.353,100,education,1.11,8,339,0
43.12,325,244,81,0.1767,0.877,53,0.858,213,education,0.73,33,358,1
19.63,232,68,164,0.2887,0.452,15,0.248,30,electricity,0.96,42,274,1
18.63,684,147,537,0.1268,0.114,171,0.245,16,healthcare,0.8,6,690,0
44.78,337,130,207,0.3444,0.177,113,0.289,23,water,1.14,0,337,0
17.8,249,100,149,0.178,0.703,53,0.482,70,road,0.64,85,334,1
51.73,431,238,193,0.2173,0.602,176,0.607,143,housing,1.04,2,433,0
23.58,817,203,614,0.1162,0.187,59,0.254,37,housing,0.87,0,817,0
100.0,255,197,58,0.5076,0.237,27,0.729,46,water,1.2,0,255,0
64.89,465,252,213,0.2575,0.843,36,0.422,212,education,1.07,0,465,0
20.63,725,126,599,0.1637,0.457,197,0.154,57,healthcare,0.87,3,728,0
90.42,585,305,280,0.2965,0.551,105,0.488,168,road,0.84,21,606,1
19.07,498,109,389,0.175,0.463,18,0.165,50,housing,0.7,4,502,0
100.0,570,529,41,0.189,0.646,58,0.825,341,healthcare,0.68,1,571,0
19.6,602,149,453,0.1315,0.53,121,0.192,79,housing,0.9,2,604,0
84.35,101,93,8,0.907,0.888,145,1.162,82,electricity,0.77,84,185,1
71.01,132,82,50,0.866,0.779,134,0.621,63,electricity,0.97,14,146,0
10.54,262,64,198,0.1646,0.156,11,0.273,9,education,0.91,114,376,1
54.5,280,174,106,0.3132,0.863,56,0.681,150,education,1.03,9,289,0
29.07,1132,300,832,0.0969,0.324,90,0.339,97,housing,0.68,0,1132,0
78.55,335,258,77,0.3045,0.111,137,0.64,28,electricity,0.74,5,340,0
100.0,270,210,60,0.4762,0.549,192,0.85,115,electricity,0.76,0,270,0
67.54,285,237,48,0.285,0.453,184,1.015,107,electricity,1.17,28,313,1
46.4,299,110,189,0.4218,0.351,64,0.275,38,education,1.16,8,307,0
42.64,322,167,155,0.2553,0.16,181,0.557,26,water,0.91,16,338,1
37.92,206,139,67,0.2728,0.195,113,0.801,27,water,0.62,74,280,1
100.0,730,688,42,0.1453,0.419,139,1.103,288,healthcare,0.85,12,742,0
18.21,914,155,759,0.1175,0.792,85,0.149,122,healthcare,0.97,0,914,0
15.8,561,180,381,0.0878,0.906,126,0.317,163,education,0.79,29,590,1
19.62,667,131,536,0.1497,0.215,36,0.215,28,road,0.8,8,675,0
5.01,547,98,449,0.0511,0.317,118,0.229,31,healthcare,0.67,45,592,1
55.87,477,309,168,0.1808,0.891,36,0.578,275,housing,0.76,34,511,1
100.0,238,221,17,0.4525,0.342,90,1.073,75,electricity,0.92,2,240,0
23.34,347,73,274,0.3198,0.76,155,0.255,55,electricity,0.93,5,352,0
42.59,273,169,104,0.252,0.602,115,0.494,101,electricity,1.09,76,349,1
24.36,628,211,417,0.1154,0.284,68,0.397,59,road,0.93,50,678,1
50.95,245,98,147,0.5199,0.849,94,0.484,83,road,0.61,0,245,0
90.95,597,444,153,0.2048,0.997,74,0.913,442,education,0.82,4,601,0
90.45,221,157,64,0.5761,0.103,58,0.798,16,electricity,0.97,14,235,0
43.2,307,237,70,0.1823,0.194,18,0.879,45,water,0.74,105,412,1
100.0,900,607,293,0.1647,0.39,163,0.482,236,housing,0.98,4,904,0
62.26,149,139,10,0.4479,0.496,104,0.944,68,water,0.69,69,218,1
26.47,325,135,190,0.1961,0.678,61,0.524,91,education,0.85,61,386,1
63.57,578,259,319,0.2454,0.955,79,0.513,247,road,0.72,3,581,0
71.92,433,259,174,0.2777,0.151,113,0.7,38,road,1.11,0,433,0
61.04,138,64,74,0.9537,0.173,104,0.367,11,electricity,1.04,0,138,0
17.6,361,105,256,0.1676,0.691,61,0.335,72,education,1.17,19,380,1
27.66,225,76,149,0.364,0.434,124,0.437,32,water,0.86,9,234,0
26.35,1205,619,586,0.0426,0.606,88,0.551,374,housing,0.81,51,1256,1
14.54,698,121,577,0.1201,0.454,147,0.213,54,road,1.1,6,704,0
79.12,529,494,35,0.1602,0.272,135,1.06,134,housing,0.8,55,584,1
19.74,250,57,193,0.3464,0.203,37,0.232,11,electricity,1.12,5,255,0
70.97,602,422,180,0.1682,0.249,102,0.695,105,education,1.17,4,606,0
56.31,508,228,280,0.247,0.808,90,0.393,184,healthcare,0.67,0,508,0
21.15,211,67,144,0.3157,0.779,131,0.369,52,road,0.61,20,231,1
63.65,992,833,159,0.0764,0.597,30,0.869,497,housing,0.66,54,1046,1
55.94,216,93,123,0.6016,0.84,171,0.473,78,water,0.83,1,217,0
59.86,416,245,171,0.2443,0.276,59,0.642,67,water,1.14,0,416,0
55.43,750,276,474,0.2008,0.252,7,0.457,69,housing,0.9,0,750,0
22.01,265,60,205,0.3668,0.894,114,0.172,53,electricity,1.08,5,270,0
58.99,110,78,32,0.7563,0.485,160,0.881,37,electricity,0.7,13,123,0
62.83,310,169,141,0.3718,0.587,13,0.653,99,education,1.03,5,315,0
55.54,496,248,248,0.2239,0.573,135,0.615,142,water,0.75,0,496,0
25.51,367,63,304,0.4049,0.774,55,0.169,48,water,0.99,0,367,0
79.37,637,519,118,0.1529,0.393,129,0.901,203,housing,1.01,0,637,0
98.68,565,371,194,0.266,0.406,91,0.49,150,housing,1.12,0,565,0
61.94,316,236,80,0.2625,0.309,146,0.93,73,electricity,1.08,17,333,1
97.15,479,417,62,0.233,0.304,124,0.808,126,healthcare,0.83,1,480,0
12.57,960,110,850,0.1142,0.779,114,0.144,85,housing,1.08,0,960,0
100.0,292,268,24,0.3731,0.201,23,1.124,53,water,1.02,0,292,0
13.41,253,46,207,0.2915,0.167,93,0.218,7,electricity,0.74,42,295,1
100.0,247,208,39,0.4808,0.903,129,0.893,187,education,0.71,0,247,0
13.17,611,79,532,0.1668,0.616,68,0.152,48,education,1.0,0,611,0
70.95,536,389,147,0.1824,0.846,141,0.801,329,water,1.13,6,542,0
44.98,195,96,99,0.4685,0.499,151,0.611,47,water,0.96,4,199,0
73.91,276,177,99,0.4176,0.687,80,0.639,121,water,1.17,0,276,0
70.55,711,520,191,0.1357,0.136,157,0.514,70,healthcare,0.96,4,715,0
48.42,559,279,280,0.1735,0.276,113,0.494,77,road,0.97,0,559,0
1.97,278,29,249,0.0678,0.86,194,0.126,24,electricity,0.77,82,360,1
41.71,281,150,131,0.2781,0.836,41,0.467,125,electricity,0.92,60,341,1
40.09,576,388,188,0.1033,0.347,143,0.525,134,education,0.84,63,639,1
97.89,191,166,25,0.5897,0.959,49,0.986,159,water,1.03,8,199,0
11.59,353,50,303,0.2319,0.699,86,0.123,34,education,1.08,6,359,0
60.62,236,143,93,0.4239,0.172,117,0.451,24,electricity,0.81,1,237,0
46.79,381,155,226,0.3019,0.225,14,0.408,34,education,0.67,0,381,0
73.59,1031,752,279,0.0979,0.228,135,0.745,171,housing,0.61,0,1031,0
28.89,490,289,201,0.1,0.409,66,0.611,118,education,1.04,91,581,1
58.07,396,272,124,0.2135,0.631,185,0.838,171,water,0.74,32,428,1
79.2,335,198,137,0.4,0.624,27,0.528,123,road,0.82,15,350,1
26.4,469,113,356,0.2336,0.411,169,0.298,46,education,0.69,0,469,0
21.46,538,209,329,0.1027,0.191,130,0.412,39,water,1.11,62,600,1
29.27,323,185,138,0.1582,0.128,158,0.416,23,water,0.83,37,360,1
71.69,626,464,162,0.1545,0.852,34,0.578,395,healthcare,0.82,1,627,0
67.07,266,127,139,0.5281,0.451,63,0.61,57,road,0.83,0,266,0
84.9,432,403,29,0.2107,0.496,57,1.12,200,housing,0.78,41,473,1
63.17,676,359,317,0.176,0.602,25,0.68,216,road,0.81,0,676,0
57.37,290,230,60,0.2495,0.37,21,0.906,85,road,0.8,96,386,1
49.01,344,248,96,0.1976,0.968,122,0.603,239,road,1.15,86,430,1
56.75,136,114,22,0.4978,0.152,143,0.864,17,electricity,1.01,74,210,1
100.0,888,820,68,0.122,0.63,56,1.126,516,healthcare,0.83,0,888,0
56.92,771,330,441,0.1725,0.51,183,0.53,168,housing,0.87,0,771,0
69.76,510,465,45,0.15,0.381,100,0.77,177,water,0.75,26,536,1
90.38,651,471,180,0.1919,0.75,26,0.805,353,housing,1.02,0,651,0
43.54,313,120,193,0.3628,0.108,34,0.489,12,water,1.2,9,322,0
14.14,1011,139,872,0.1017,0.229,41,0.157,31,housing,1.05,6,1017,0
42.5,726,451,275,0.0942,0.352,13,0.705,158,education,1.01,18,744,1
72.79,534,302,232,0.241,0.57,49,0.722,172,road,0.78,6,540,0
54.72,554,451,103,0.1213,0.29,17,0.897,130,education,1.12,65,619,1
62.12,996,442,554,0.1405,0.594,57,0.536,262,housing,0.73,14,1010,0
47.7,362,190,172,0.251,0.599,14,0.629,113,education,0.98,4,366,0
26.67,776,232,544,0.115,0.798,8,0.235,185,healthcare,0.76,3,779,0
89.07,1214,971,243,0.0917,0.386,109,0.92,374,housing,0.6,0,1214,0
93.39,658,566,92,0.165,0.322,12,0.605,182,housing,1.04,0,658,0
64.88,316,257,59,0.2524,0.949,104,1.016,243,education,0.85,49,365,1
8.69,298,52,246,0.167,0.225,124,0.194,11,water,0.75,88,386,1
100.0,113,84,29,1.1905,0.342,179,0.946,28,electricity,0.89,0,113,0
25.98,160,80,80,0.3247,0.791,109,0.369,63,water,0.85,99,259,1
61.1,892,370,522,0.1651,0.647,104,0.46,239,healthcare,0.78,13,905,0
100.0,393,285,108,0.3509,0.901,58,0.595,256,water,0.77,0,393,0
0.42,704,105,599,0.004,0.318,57,0.166,33,road,1.15,152,856,1
45.43,577,260,317,0.1747,0.915,115,0.406,238,education,0.76,6,583,0
57.13,552,241,311,0.237,0.796,123,0.51,191,healthcare,0.91,0,552,0
78.04,1029,779,250,0.1002,0.101,61,0.699,78,housing,0.78,1,1030,0
75.38,636,359,277,0.21,0.373,49,0.53,133,road,0.64,0,636,0
67.62,324,238,86,0.2841,0.948,8,0.937,225,water,1.07,10,334,0
46.56,695,638,57,0.073,0.862,110,1.137,550,healthcare,0.79,65,760,1
74.01,270,148,122,0.5001,0.334,99,0.605,49,electricity,0.81,0,270,0
100.0,176,150,26,0.6667,0.107,30,0.675,16,water,0.98,0,176,0
40.04,786,432,354,0.0927,0.966,65,0.698,417,healthcare,0.97,76,862,1
49.87,574,324,250,0.1539,0.288,10,0.546,93,housing,0.63,8,582,0
41.1,512,280,232,0.1468,0.673,74,0.42,188,road,0.9,38,550,1
43.25,269,146,123,0.2962,0.112,59,0.451,16,road,0.61,55,324,1
47.74,148,59,89,0.8092,0.98,47,0.407,57,electricity,1.05,0,148,0
68.97,213,137,76,0.5035,0.787,191,0.822,107,water,1.11,11,224,0
45.98,220,92,128,0.4998,0.827,175,0.306,76,water,0.71,13,233,0
28.22,977,301,676,0.0938,0.207,112,0.339,62,housing,0.77,2,979,0
48.21,725,684,41,0.0705,0.927,152,1.088,633,road,1.17,110,835,1
64.39,1405,1081,324,0.0596,0.691,185,0.704,746,housing,0.74,26,1431,1
12.51,205,25,180,0.5005,0.88,197,0.099,22,electricity,0.77,7,212,0
58.42,157,93,64,0.6281,0.229,30,0.716,21,electricity,0.86,26,183,1
48.58,916,403,513,0.1206,0.398,140,0.358,160,healthcare,1.11,2,918,0
43.9,443,155,288,0.2832,0.399,31,0.422,61,water,1.02,0,443,0
22.59,368,84,284,0.269,0.453,27,0.288,38,healthcare,0.93,3,371,0
42.77,688,312,376,0.1371,0.894,65,0.437,279,education,0.63,0,688,0
37.14,451,131,320,0.2835,0.906,91,0.31,118,water,1.09,4,455,0
20.81,385,79,306,0.2635,0.695,58,0.218,54,road,0.65,0,385,0
0.3,566,66,500,0.0045,0.426,14,0.116,28,healthcare,1.17,121,687,1
92.95,281,214,67,0.4343,0.94,55,0.704,201,road,1.1,10,291,0
100.0,377,332,45,0.3012,0.41,171,1.068,136,road,0.62,6,383,0
19.86,92,18,74,1.1032,0.952,116,0.209,17,electricity,0.9,0,92,0
12.64,521,59,462,0.2142,0.733,167,0.08,43,water,1.18,0,521,0
12.68,347,49,298,0.2587,0.207,31,0.142,10,road,1.18,3,350,0
85.25,637,501,136,0.1702,0.817,26,0.869,409,road,0.75,10,647,0
13.3,358,39,319,0.3411,0.272,130,0.103,10,road,0.85,0,358,0
62.7,881,636,245,0.0986,0.165,23,0.8,104,housing,0.72,30,911,1
86.09,320,245,75,0.3514,0.807,18,0.896,197,education,0.96,0,320,0
18.33,381,71,310,0.2581,0.764,160,0.177,54,healthcare,1.02,0,381,0
18.25,190,61,129,0.2992,0.668,93,0.371,40,water,0.93,70,260,1
9.11,803,132,671,0.069,0.512,186,0.185,67,healthcare,0.66,55,858,1
37.77,223,69,154,0.5474,0.382,100,0.334,26,electricity,0.76,10,233,0
54.94,333,160,173,0.3434,0.895,63,0.55,143,education,0.72,16,349,1
59.72,463,293,170,0.2038,0.505,11,0.54,148,education,1.17,2,465,0
30.4,135,35,100,0.8685,0.176,167,0.321,6,electricity,1.08,0,135,0
60.11,212,113,99,0.5319,0.182,182,0.605,20,water,0.72,5,217,0
9.47,166,20,146,0.4737,0.646,182,0.143,12,water,1.0,0,166,0
100.0,702,550,152,0.1818,0.808,191,0.682,444,healthcare,0.84,0,702,0
59.49,673,279,394,0.2132,0.4,138,0.49,111,road,1.12,9,682,0
79.63,367,296,71,0.269,0.943,118,0.881,279,road,0.64,0,367,0
33.84,364,98,266,0.3453,0.542,139,0.199,53,road,1.16,2,366,0
48.06,1298,852,446,0.0564,0.565,42,0.504,481,housing,1.07,88,1386,1
100.0,819,583,236,0.1715,0.325,133,0.631,189,healthcare,0.91,0,819,0
42.71,456,333,123,0.1283,0.958,50,0.913,318,education,0.8,60,516,1
100.0,678,610,68,0.1639,0.598,65,0.842,364,healthcare,0.9,3,681,0
100.0,451,366,85,0.2732,0.112,199,0.771,40,healthcare,0.78,0,451,0
42.64,859,443,416,0.0962,0.579,108,0.628,256,housing,1.07,22,881,1
38.83,653,256,397,0.1517,0.195,126,0.359,49,housing,0.73,3,656,0
45.23,413,254,159,0.1781,0.774,151,0.556,196,education,0.94,85,498,1
98.63,354,262,92,0.3765,0.732,199,0.828,191,education,0.7,0,354,0
17.19,1294,153,1141,0.1123,0.205,52,0.126,31,housing,0.8,4,1298,0
100.0,96,72,24,1.3889,0.813,197,0.538,58,electricity,0.64,26,122,1
7.71,233,25,208,0.3085,0.519,124,0.125,12,electricity,1.12,18,251,1
